2,AL DRZ,Durres (Durazzo),sea
2,AL SAR,Sarande,sea
2,AL SHG,Shengjjin,sea
2,AL VOA,"Vlore (Vlora, Vlone)",sea
3,DZ ALG,Algiers,sea
3,DZ AAE,Annaba (Ex Bone),sea
3,DZ AZW,Arzew,sea
3,DZ BJA,Bejaia (Ex Bougie),sea
3,DZ DEL,Dellys,sea
3,DZ GHA,Ghazaouet,sea
3,DZ MOS,Mostaganem,sea
3,DZ ORN,Oran,sea
3,DZ SKI,Skikda (Ex Philippeville),sea
3,DZ TEN,Tenes,sea
4,AS PPG,Pago Pago,sea
6,AO CAB,Cabinda,sea
6,AO LOB,Lobito,sea
6,AO LAD,Luanda,sea
